Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
Tine		Seaport	4	Soldier Supplies	TRUE	10	40	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
Tine		Seaport	23	Maintenance Supplies	TRUE	100	2300	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
Tine		Seaport	229	7.62mm	TRUE	40	9160	Standard ammunition for rifles.	RifleAmmo
Tine		Seaport	140	Physician’s Jacket	TRUE	15	2100	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
Tine		Seaport	60	20mm	TRUE	10	600	Standard ammunition for anti-tank rifles.	ATRifleAmmo
Tine		Seaport	57	Binoculars	TRUE	5	285	An optical instrument used for viewing distant objects.	Binoculars
Tine		Seaport	56	Processed Construction Materials	TRUE	1	56	Refined metal bars needed to produce advanced structures, vehicles, and equipment at Facilities.	FacilityMaterials2
Tine		Seaport	55	20 Neville Anti-Tank Rifle	TRUE	3	165	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
Tine		Seaport	49	Buckhorn CCQ-18	TRUE	20	980	Attached to the barrel of a rifle, this short blade can spear enemies in close quarters encounters.	Bayonet
Tine		Seaport	44	Gunner’s Breastplate	TRUE	5	220	Repurposed from ancient wars, these armour plates are highly effective at stopping enemy small arms fire. That protection comes at the cost of weight, and the wearer will feel quite restricted and encumbered.	ArmourUniformW
Tine		Seaport	40	Basic Materials	TRUE	100	4000	Resource used for building basic structures and producing items.	Cloth
Tine		Seaport	38	Barbed Wire	TRUE	5	190	Used to construct Barbed Wire defenses.	BarbedWireMaterials
Tine		Seaport	34	120mm	TRUE	5	170	Payload for light artillery weapons.	LightArtilleryAmmo
Tine		Seaport	33	Diesel	TRUE	1	33	Common fuel used to power all vehicles and resource mines.	Diesel
Tine		Seaport	30	Wrench	TRUE	5	150	A multipurpose tool. Can be used to dismantle mines/barbed wire and unlock vehicles.	WorkWrench
Tine		Seaport	22	Outrider’s Mantle	TRUE	15	330	The Warden army relies on outriders to provide and recieve vital intelligence. Their gear is sturdy and well-suited for extended operations in rugged terrain and inclement weather.	ScoutUniformW
Tine		Seaport	22	Explosive Powder	TRUE	40	880	Resource used for producing explosive weapons.	Explosive
Tine		Seaport	21	Caoivish Parka	TRUE	15	315	Born and bred in the northern cold, this heavy parka protects Warden infantry from all but the worst blizzards.	SnowUniformW
Tine		Seaport	21	Sledge Hammer	TRUE	10	210	A tool used to salvage components from remains of old vehicles and equipment.	SledgeHammer
Tine		Seaport	21	Gas Mask	TRUE	20	420	Protects against poison gas	GasMask
Tine		Seaport	19	Radio	TRUE	5	95	Receives map intelligence updates	Radio
Tine		Seaport	19	Sandbag	TRUE	5	95	Used to construct Sandbag defenses.	SandbagMaterials
Tine		Seaport	18	Shovel	TRUE	10	180	A tool for digging Trenches and other entrenched structures.	Shovel
Tine		Seaport	16	Sapper Gear	TRUE	15	240	Caoivish engineers are legendary in song and stature. They wear specialized uniforms, outfitted with belts and bags for easy access to tools and handheld materials.	EngineerUniformW
Tine		Seaport	15	Construction Materials	TRUE	20	300	Metal beams needed to produce basic structures, vehicles, and equipment at Facilities.	FacilityMaterials1
Tine		Seaport	15	Water	TRUE	1	15	Water... in a can!	Water
Tine		Seaport	13	150mm	TRUE	5	65	Payload for heavy artillery weapons.	HeavyArtilleryAmmo
Tine		Seaport	12	Gas Mask Filter	TRUE	20	240	When attached to a Gas Mask, this filter provides fresh air to the wearer.	GasMaskFilter
Tine		Seaport	11	The Ospreay	TRUE	20	220	A rifle attachment that fires grenades with pneumatic force. Along with specialized grenades, it can launch standard grenades.	GrenadeAdapter
Tine		Seaport	10	Fiddler Submachine Gun Model 868	TRUE	20	200	The Fiddler Submachine Gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.	SMGW
Tine		Seaport	9	Officer’s Regalia	TRUE	3	27	A formal uniform that denotes a regiment’s leading officer. While impractical, the officer on duty may use their authority to discipline subordinates without reparation. Officers hold an important role in the Warden military, dating back to ancient times when Caoiva was ruled by a dozen kings.	OfficerUniformW
Tine		Seaport	8	Metal Beam	TRUE	5	40	Used to construct Metal Beam defenses.	MetalBeamMaterials
Tine		Seaport	7	Willow's Bane Ammo	TRUE	10	70	Ammo for Willow’s Bane Model 845	FlameBackpackW
Tine		Seaport	7	12.7mm	TRUE	20	140	Standard ammunition for machine guns.	MGAmmo
Tine		Seaport	7	No.2 Loughcaster	TRUE	20	140	Standard-issue Warden rifle. This bolt-action firearm is as robust as they come and has seen over a century of use on the battlefield.	RifleW
Tine		Seaport	6	The Hangman 757	TRUE	20	120	The weapon of choice for pirates and smugglers, its legend is well-earned. With incredibly high stopping power and unique revolver mechanism, the Hangman often plays judge, jury, and executioner.	RifleHeavyW
